24-48-2024	11:02:20	e81df0a7-6c71-4f5a-ba3c-64fddbbd29e1	message: Method: GET 	 Origin: undefined 	 Url: / 	 path: /
24-48-2024	11:02:20	8e1049fc-15a7-4388-bff8-e84dab1dd939	message: Method: GET 	 Origin: undefined 	 Url: /css/style.css 	 path: /css/style.css
24-52-2024	11:02:10	63274c46-4f84-450f-94a7-d4672b219205	message: Method: GET 	 Origin: undefined 	 Url: / 	 path: /
24-52-2024	11:02:10	dbfc0f75-8c2b-421c-b348-2e3e87bc2c26	message: Method: GET 	 Origin: undefined 	 Url: /css/style.css 	 path: /css/style.css
24-53-2024	11:02:42	adbf6ad9-df4f-47f9-a336-dfb313650563	message: Method: OPTIONS 	 Origin: https://www.theverge.com 	 Url: / 	 path: /
24-53-2024	11:02:42	6ffd8e1f-60b1-4161-8abd-00789b0eb8d5	message: Method: GET 	 Origin: https://www.theverge.com 	 Url: / 	 path: /
24-15-2024	12:02:33	9984e042-64b2-42a7-8507-db4a7c34c513	message: Method: GET 	 Origin: undefined 	 Url: / 	 path: /
24-37-2024	13:02:06	7ff9cde6-8875-446f-8ad4-218300dcad5d	message: Method: GET 	 Origin: undefined 	 Url: / 	 path: /
24-37-2024	13:02:26	48679c2f-743f-4047-9822-5c5619ef30f7	message: Method: GET 	 Origin: undefined 	 Url: / 	 path: /
24-40-2024	13:02:17	46732747-27ae-425b-ab65-1858bb456201	message: Method: GET 	 Origin: undefined 	 Url: / 	 path: /
24-40-2024	13:02:18	7e50d965-8fe7-4794-a8d3-150c45105074	message: Method: GET 	 Origin: undefined 	 Url: /favicon.ico 	 path: /favicon.ico
24-41-2024	13:02:41	cd4a345c-ec37-4129-a2f8-95b8deff8ed1	message: Method: GET 	 Origin: undefined 	 Url: / 	 path: /
24-41-2024	13:02:41	864ddbcb-495a-4d06-91ef-48aa0f945692	message: Method: GET 	 Origin: undefined 	 Url: /css/style.css 	 path: /css/style.css
24-41-2024	13:02:41	581416ae-28d7-4ab0-a1b1-69e72cae81be	message: Method: GET 	 Origin: undefined 	 Url: /favicon.ico 	 path: /favicon.ico
24-43-2024	13:02:46	0540457d-9a08-4c22-8fa3-7cf1f6432fb1	message: Method: GET 	 Origin: undefined 	 Url: / 	 path: /
24-43-2024	13:02:46	a28d2450-eae8-4ea8-9956-6a6eb38357e1	message: Method: GET 	 Origin: undefined 	 Url: /css/style.css 	 path: /css/style.css
24-43-2024	13:02:47	87ee874f-50da-4292-a8dc-70eaab8dcd79	message: Method: GET 	 Origin: undefined 	 Url: / 	 path: /
24-43-2024	13:02:47	f071004d-ad19-49bb-80e8-745b2b899221	message: Method: GET 	 Origin: undefined 	 Url: /css/style.css 	 path: /css/style.css
24-43-2024	13:02:59	a586353c-50aa-4bec-98dd-4bb1f3ae82ed	message: Method: OPTIONS 	 Origin: https://www.google.com 	 Url: / 	 path: /
24-43-2024	13:02:59	40bb68e4-951f-48e4-97ed-c1d0c52e8d0b	message: Method: GET 	 Origin: https://www.google.com 	 Url: / 	 path: /
24-46-2024	13:02:46	d73041c8-35dc-4ba4-970d-1b8dd9a0236e	message: Method: OPTIONS 	 Origin: https://www.google.com 	 Url: / 	 path: /
24-46-2024	13:02:46	6ca860b1-3198-4c8d-8bb5-2ac0ce438832	message: Method: GET 	 Origin: https://www.google.com 	 Url: / 	 path: /
24-47-2024	13:02:28	aa77d251-1a32-4a16-a368-516d617df187	message: Method: OPTIONS 	 Origin: https://www.google.com 	 Url: / 	 path: /
24-47-2024	13:02:28	24ad6f2e-4d4e-43f9-bc81-31edece676e9	message: Method: GET 	 Origin: https://www.google.com 	 Url: / 	 path: /
24-48-2024	13:02:06	aaf5f3d8-8595-4137-ada7-bce40aca2d02	message: Method: OPTIONS 	 Origin: https://www.google.com 	 Url: / 	 path: /
24-48-2024	13:02:06	308ecd3a-a5a8-4543-8a34-8a9f3c911595	message: Method: GET 	 Origin: https://www.google.com 	 Url: / 	 path: /
24-51-2024	13:02:02	48638eab-65c7-4c7f-b8a2-06a899d48a59	message: Method: GET 	 Origin: undefined 	 Url: /fdnskfdsfnkj 	 path: /fdnskfdsfnkj
24-51-2024	13:02:02	5896bb7a-58b4-4f85-8061-9b9653f7397b	message: Method: GET 	 Origin: undefined 	 Url: /css/style.css 	 path: /css/style.css
